date0,local_ip0,remote_asn0,flows0,date1,local_ip1,remote_asn1,flows1,date2,local_ip2,remote_asn2,flows2,date3,local_ip3,remote_asn3,flows3,date4,local_ip4,remote_asn4,flows4,date5,local_ip5,remote_asn5,flows5,date6,local_ip6,remote_asn6,flows6,date7,local_ip7,remote_asn7,flows7,date8,local_ip8,remote_asn8,flows8,date9,local_ip9,remote_asn9,flows9
703,0,33650,1,704,1,852,2,706,2,7132,3,710,3,24940,2,711,4,7132,2,706,5,34104,2,709,6,17672,2,704,7,29668,1,704,8,12552,1,705,9,7132,7
703,0,33651,1,704,1,1103,2,706,2,7377,77,710,3,30380,1,711,4,14777,6,707,5,205,1,709,6,17897,7,705,7,3,1,704,8,13890,1,705,9,7342,3
703,0,36727,2,704,1,2418,2,706,2,9506,22,711,3,1668,2,711,4,14778,2,707,5,1257,1,710,6,4134,7,705,7,109,5,704,8,14492,8,705,9,7743,14
704,0,701,4,704,1,2516,3,706,2,11414,17,711,3,3320,7,711,4,22855,16,707,5,2152,2,710,6,4713,2,705,7,286,2,704,8,15169,296,705,9,7912,3
704,0,2152,1,704,1,2828,2,706,2,18182,1,711,3,3356,2,711,4,31976,83,707,5,3561,3,710,6,4808,11,705,7,1239,10,704,8,17374,2,705,9,8002,1
704,0,3064,1,704,1,3242,1,706,2,19918,351,711,3,4134,84,711,4,33651,43,707,5,4134,29,710,6,4837,1,705,7,2152,5,704,8,18229,684,705,9,8070,3
704,0,3269,7,704,1,3265,1493,706,2,25767,5,711,3,4804,2,712,4,3320,21,707,5,6478,4,710,6,6079,2,705,7,3356,1,704,8,22205,1,705,9,8075,5
704,0,3462,1,704,1,3269,20,706,2,29863,2,711,3,4812,1,712,4,4323,1,707,5,7132,1,710,6,7788,2,705,7,3701,3,704,8,22822,2,705,9,8182,17
704,0,3561,34,704,1,3354,2,707,2,47,1,711,3,4837,1,712,4,4766,1,707,5,8070,6,710,6,8708,3,705,7,6408,39,704,8,22982,1,705,9,10316,4
704,0,4538,1,704,1,3356,1,707,2,209,32,711,3,14265,2,712,4,7132,31,707,5,8075,5,710,6,9394,1,705,7,8070,3,704,8,27357,2,705,9,10565,1
704,0,4766,2714,704,1,3462,1,707,2,1239,10,711,3,17897,1,712,4,14778,4,707,5,9318,3,710,6,9803,1,705,7,8560,1,704,8,30315,10,705,9,10763,1
704,0,4808,1,704,1,3561,6,707,2,1312,83,712,3,3,2,712,4,17964,99,707,5,13867,2,710,6,17672,2,705,7,9156,2,704,8,33070,6,705,9,10794,10
704,0,4812,1,704,1,3741,2,707,2,2152,4,712,3,4134,3,712,4,22855,14,708,5,209,2,710,6,17799,1,705,7,10292,5,704,8,33554,1,705,9,11486,5
704,0,4837,1,704,1,4134,8,707,2,3561,5,712,3,4766,2,712,4,29895,3,708,5,2152,3,710,6,17897,2,705,7,10565,2,704,8,36017,7,705,9,11734,2
704,0,5760,1,704,1,4266,2,707,2,4134,1,712,3,9803,1,712,4,31976,84,708,5,3356,2,710,6,20401,2,705,7,12222,1,705,8,3,5,705,9,11944,225
704,0,6724,1,704,1,4323,1,707,2,4181,1,712,3,9808,1,712,4,33651,12,708,5,3561,1,710,6,24940,2,705,7,14992,3,705,8,14,5,705,9,12111,25
704,0,7018,1,704,1,4589,2,707,2,4323,8,712,3,15464,1,713,4,4323,1,708,5,3786,1,710,6,30380,2,705,7,15169,38,705,8,71,1,705,9,12168,4
704,0,7029,2,704,1,4766,15,707,2,6432,4,712,3,17964,2,713,4,4814,1,708,5,4134,5,711,6,1668,4,705,7,18924,48,705,8,109,5,705,9,12179,18
